"date","time","ID1","behavior"
"23/11/2017","11:29:08","Raimee","urine-interaction"
"23/11/2017","11:34:58","Erika","urine-interaction"
"23/11/2017","11:39:35","Gaby","urine-interaction"
"24/11/2017","14:57:18","Jimmie","urine-interaction"
"04/12/2017","10:08:39","Gaby","urine-interaction"
"08/12/2017","13:38:27","Gaby","urine-interaction"
"11/12/2017","10:58:28","Gaby","urine-interaction"
"11/12/2017","11:05:47","Roosje","urine-interaction"
"14/12/2017","12:20:38","Gaby","urine-interaction"
"15/12/2017","10:06:33","Gaby","urine-interaction"
"15/12/2017","11:17:49","Gaby","urine-interaction"
"08/01/2018","11:21:26","Gaby","urine-interaction"
"08/01/2018","11:52:37","Gaby","urine-interaction"
"09/01/2018","15:06:05","Gaby","urine-interaction"
"09/01/2018","15:36:05","Gaby","urine-interaction"
"15/01/2018","15:17:24","Gaby","urine-interaction"
"16/01/2018","11:25:43","Gaby","urine-interaction"
"18/01/2018","10:39:05","Gaby","urine-interaction"
"19/01/2018","13:08:02","Gaby","urine-interaction"
"19/01/2018","13:24:09","Gaby","urine-interaction"
"19/01/2018","13:31:36","Gaby","urine-interaction"
"19/01/2018","13:56:46","Gaby","urine-interaction"
"01/02/2018","11:16:32","Gaby","urine-interaction"
"15/02/2018","11:39:43","Gaby","urine-interaction"
"15/02/2018","12:10:35","Gaby","urine-interaction"
"20/02/2018","13:33:01","Gaby","urine-interaction"
"23/02/2018","13:52:59","Gaby","urine-interaction"
"27/02/2018","09:25:39","Gaby","urine-interaction"
"08/03/2018","12:38:44","Gaby","urine-interaction"
"13/03/2018","13:47:21","Gaby","urine-interaction"
"20/03/2018","11:44:56","Gaby","urine-interaction"
"22/03/2018","12:55:33","Gaby","urine-interaction"
"22/03/2018","13:17:00","Erika","urine-interaction"
"05/04/2018","12:11:29","Erika","urine-interaction"
"16/04/2018","11:52:30","Gaby","urine-interaction"
"23/11/2017","11:37:48","Fons","rock"
"24/11/2017","14:00:49","Fons","rock"
"30/11/2017","12:24:48","Jimmie","rock"
"08/12/2017","13:10:40","Fons","rock"
"11/12/2017","11:41:28","Jimmie","rock"
"12/12/2017","13:40:40","Fons","rock"
"12/12/2017","14:28:06","Moniek","rock"
"12/12/2017","14:28:57","Moniek","rock"
"12/12/2017","14:29:08","Moniek","rock"
"12/12/2017","14:33:13","Moniek","rock"
"12/12/2017","14:34:48","Moniek","rock"
"14/12/2017","11:42:57","Jimmie","rock"
"14/12/2017","11:48:15","Fons","rock"
"14/12/2017","11:48:51","Fons","rock"
"14/12/2017","11:50:23","Fons","rock"
"14/12/2017","11:51:05","Fons","rock"
"14/12/2017","11:52:05","Tushi","rock"
"14/12/2017","11:53:14","Jimmie","rock"
"14/12/2017","11:56:13","Jimmie","rock"
"14/12/2017","11:56:52","Tushi","rock"
"14/12/2017","11:58:10","Jimmie","rock"
"14/12/2017","12:00:23","Jimmie","rock"
"14/12/2017","12:13:34","Fons","rock"
"08/01/2018","10:54:10","Fons","rock"
"08/01/2018","10:54:27","Fons","rock"
"11/01/2018","12:47:55","Moniek","rock"
